61 fps | update 0.01ms | apply 0.14ms | winmove 0.000ms
60 fps | update 0.02ms | apply 0.05ms | winmove 0.000ms
60 fps | update 0.02ms | apply 0.07ms | winmove 0.000ms
60 fps | update 0.02ms | apply 0.08ms | winmove 0.000ms
60 fps | update 0.02ms | apply 0.08ms | winmove 0.000ms
60 fps | update 0.01ms | apply 0.08ms | winmove 0.000ms
60 fps | update 0.01ms | apply 0.07ms | winmove 0.000ms
60 fps | update 0.01ms | apply 0.07ms | winmove 0.000ms
60 fps | update 0.02ms | apply 0.07ms | winmove 0.000ms
60 fps | update 0.02ms | apply 0.07ms | winmove 0.000ms
60 fps | update 0.02ms | apply 0.07ms | winmove 0.000ms
60 fps | update 0.02ms | apply 0.08ms | winmove 0.000ms
60 fps | update 0.03ms | apply 0.07ms | winmove 0.000ms
60 fps | update 0.02ms | apply 0.11ms | winmove 0.000ms
60 fps | update 0.03ms | apply 0.14ms | winmove 0.000ms
60 fps | update 0.03ms | apply 0.02ms | winmove 0.000ms
60 fps | update 0.03ms | apply 0.03ms | winmove 0.000ms
60 fps | update 0.03ms | apply 0.03ms | winmove 0.000ms
60 fps | update 0.03ms | apply 0.03ms | winmove 0.000ms
60 fps | update 0.03ms | apply 0.03ms | winmove 0.000ms
60 fps | update 0.03ms | apply 0.03ms | winmove 0.000ms
60 fps | update 0.03ms | apply 0.03ms | winmove 0.000ms
60 fps | update 0.02ms | apply 0.05ms | winmove 0.000ms
60 fps | update 0.03ms | apply 0.04ms | winmove 0.000ms
